sample_id,true_label,true_class,predicted_label,predicted_class,correct,prob_Class 0,prob_Class 1,prob_Class 2,prob_Class 3,prob_Class 4,prob_Class 5,prob_Class 6,prob_Class 7,confidence_margin
786,0,Class 0,7,Class 7,0,3.8293533e-06,8.359981e-09,4.336175e-09,2.0060254e-08,7.530846e-10,2.8271647e-11,3.4839687e-09,0.9999962,0.9999923559494164
797,6,Class 6,5,Class 5,0,1.0594953e-12,4.41537e-13,2.2901746e-13,4.9014963e-12,2.0630368e-14,0.99824905,0.0017509983,3.899292e-10,0.9964980556396767
812,1,Class 1,7,Class 7,0,8.03619e-05,0.21194997,1.39568565e-05,3.4161651e-09,0.00012448475,1.2572626e-06,3.7548289e-06,0.7878262,0.5758762061595917
818,2,Class 2,7,Class 7,0,2.199916e-05,9.167999e-06,3.8207045e-06,4.2836552e-07,0.0017501022,0.00047083222,5.918464e-06,0.99773765,0.9977338253984271
828,0,Class 0,7,Class 7,0,0.0673428,2.8627258e-06,0.0013112929,0.00022773872,0.0006801444,9.58552e-07,1.4996541e-08,0.9304341,0.863091304898262
837,7,Class 7,1,Class 1,0,0.21687962,0.3359576,0.002726224,6.6728757e-07,0.17425525,0.00019731825,5.30848e-05,0.26993024,0.06602734327316284
863,2,Class 2,7,Class 7,0,1.0301502e-06,5.396491e-09,4.2930805e-07,6.584529e-05,4.335897e-09,3.4493402e-07,1.7891121e-07,0.99993205,0.9999316213969109
870,0,Class 0,7,Class 7,0,0.0003779672,1.7660128e-05,2.1979955e-05,3.0671229e-06,0.0027086313,2.4643264e-06,1.5908626e-06,0.99686664,0.9964886762318201
882,7,Class 7,0,Class 0,0,0.898815,1.1524788e-06,0.00021999943,1.279365e-05,0.00017676185,9.259774e-07,9.259774e-07,0.100772426,0.7980425506830215
888,7,Class 7,2,Class 2,0,0.13659616,6.4459746e-05,0.7865048,0.036748644,2.6863136e-05,0.0033103945,7.29911e-08,0.036748644,0.7497561611235142
904,6,Class 6,7,Class 7,0,0.005205381,4.266182e-07,2.2571507e-11,1.0236967e-06,3.8430652e-08,2.2127931e-07,0.0011251813,0.9936678,0.9925426000263542
932,1,Class 1,0,Class 0,0,0.89639753,7.419894e-07,0.0006552642,6.6179928e-06,2.7580031e-06,0.002435642,2.7855094e-08,0.10050139,0.8963967890431377
943,7,Class 7,3,Class 3,0,0.15658191,2.4741554e-05,1.9878995e-05,0.46763366,1.7907413e-06,8.284436e-06,2.2287732e-06,0.3757275,0.09190616011619568
945,7,Class 7,4,Class 4,0,3.216695e-07,6.8844615e-06,9.606704e-07,4.0434562e-09,0.9324903,1.195658e-06,8.568455e-06,0.06749164,0.8649986460804939
986,0,Class 0,7,Class 7,0,0.00270978,6.0343996e-10,1.1634095e-09,9.347597e-10,1.1634095e-09,8.255023e-07,2.4899618e-08,0.9972894,0.9945796392858028
999,0,Class 0,7,Class 7,0,0.0021560153,8.093926e-05,0.009974289,0.00015604784,8.1746407e-07,5.2250834e-05,2.7371905e-07,0.9875794,0.9854233900550753
1008,0,Class 0,7,Class 7,0,0.01909757,4.7210595e-08,2.2058675e-09,4.169252e-05,5.2931046e-09,3.3498487e-05,5.1890842e-05,0.98077524,0.9616776667535305
1028,7,Class 7,1,Class 1,0,0.0788789,0.3649143,1.9306879e-05,0.026411712,1.5512418e-05,0.23557279,0.000991525,0.29319596,0.07171833515167236
1087,4,Class 4,7,Class 7,0,2.0060316e-08,3.4495721e-07,1.1665684e-09,3.8675527e-08,1.7892323e-07,5.9910406e-08,9.280433e-08,0.9999993,0.9999991058210327
1126,0,Class 0,7,Class 7,0,0.3897589,0.0006836646,7.6650416e-05,2.592151e-07,0.0020417727,0.0016404939,0.0020417727,0.6037565,0.21399757266044617
1128,7,Class 7,0,Class 0,0,0.9729337,0.0040950747,0.002643602,7.18305e-06,6.470642e-07,0.0013711896,3.725721e-06,0.01894488,0.9539888296276331
1154,7,Class 7,0,Class 0,0,0.9729102,0.0013711565,0.015221183,9.924132e-05,1.3848315e-05,0.00045911619,9.924132e-05,0.009826134,0.9630840914323926
1156,0,Class 0,7,Class 7,0,0.001129777,2.4664505e-06,1.1410452e-05,1.4343189e-07,0.001129777,2.765313e-07,2.2218323e-07,0.9977259,0.9965961269335821
1158,7,Class 7,0,Class 0,0,0.9309748,2.301437e-06,1.3383583e-07,0.0031483553,0.05413907,9.591091e-07,3.1797546e-05,0.011702558,0.9192722234874964
1180,0,Class 0,7,Class 7,0,0.003370334,1.5904612e-06,1.1626219e-09,9.157685e-06,6.628133e-07,1.15114126e-07,3.8164026e-06,0.9966143,0.9932439434342086
1186,6,Class 6,7,Class 7,0,0.0039048526,6.170074e-07,2.0659789e-07,2.5459447e-05,0.00022707929,0.0008440625,0.24959107,0.7454067,0.49581561982631683
1193,7,Class 7,2,Class 2,0,0.0005717298,0.012236321,0.97343737,0.005099406,4.6857377e-08,0.00029654612,0.0004593651,0.0078992415,0.965538127347827
1235,1,Class 1,2,Class 2,0,2.4757002e-08,0.00037596188,0.99157727,1.4254798e-07,6.6604104e-09,9.2022724e-08,2.2301625e-09,0.008046443,0.9912013057619333
1254,7,Class 7,3,Class 3,0,6.522654e-07,2.7727674e-11,3.416927e-09,0.7880019,5.9935342e-12,2.1840384e-07,1.7722998e-09,0.21199724,0.5760046541690826
1266,0,Class 0,7,Class 7,0,0.036011234,0.00012178217,0.00029222356,0.0032439681,0.00087272876,0.0001886467,2.1150523e-05,0.9592482,0.9232369512319565
1303,2,Class 2,7,Class 7,0,1.0663265e-05,9.605701e-07,0.25084296,1.5028101e-08,6.952397e-08,1.3537653e-09,1.2195e-10,0.74914527,0.49830231070518494
1310,7,Class 7,0,Class 0,0,0.45457122,5.1986854e-06,1.0022869e-05,0.026434725,0.008851372,0.050965153,0.0045910478,0.45457122,0.0
1322,5,Class 5,7,Class 7,0,2.4720441e-06,1.0404819e-08,3.867511e-08,3.829324e-06,2.4967008e-08,4.766008e-06,3.4495352e-07,0.99998856,0.9999837899003978
1368,0,Class 0,7,Class 7,0,5.991041e-08,3.94509e-12,4.9100997e-12,1.0404932e-08,2.771614e-07,7.5308704e-10,2.771614e-07,0.9999994,0.9999993440431396
1388,6,Class 6,7,Class 7,0,0.00013458537,5.052482e-06,3.2616638e-06,3.29419e-08,1.212373e-05,0.00016750599,0.14792757,0.8517499,0.7038223296403885
1403,7,Class 7,2,Class 2,0,0.00022445535,0.00014489869,0.9170198,4.90016e-07,1.4634379e-06,1.8214082e-06,7.666297e-09,0.0826071,0.8344126865267754
1474,0,Class 0,7,Class 7,0,4.247362e-05,1.2811302e-06,5.339028e-07,3.412607e-05,7.3766005e-06,3.412607e-05,0.00073037535,0.9991498,0.9991073257260723
1538,5,Class 5,0,Class 0,0,0.9970912,9.162068e-06,1.9804481e-06,0.000303752,8.171882e-05,0.0003780525,0.000728871,0.0014052356,0.996713121625362
1555,7,Class 7,0,Class 0,0,0.64834094,3.430241e-05,0.00038079065,0.012624435,7.4147256e-06,0.0014154133,0.00091372966,0.33628294,0.3120580017566681
1594,0,Class 0,7,Class 7,0,0.08262771,8.5124704e-08,7.592489e-07,0.00011645009,5.441018e-06,9.449682e-07,2.850309e-08,0.91724867,0.8346209526062012
1609,0,Class 0,7,Class 7,0,0.001750941,1.7684048e-05,3.8225357e-06,2.766671e-07,1.1416045e-05,3.101905e-08,1.6089034e-08,0.99821585,0.9964649131288752
1618,7,Class 7,4,Class 4,0,1.1781639e-11,1.2949642e-08,3.1383338e-10,1.3078781e-10,0.9999651,1.2949642e-08,8.2771703e-07,3.4153887e-05,0.9999309177910618
1633,0,Class 0,7,Class 7,0,1.42136305e-05,6.7074164e-09,8.431352e-11,1.5935893e-06,1.8045053e-09,0.0014073267,1.5935893e-06,0.9985753,0.9985611161500856
1634,7,Class 7,0,Class 0,0,0.5481201,5.646844e-07,0.010672944,0.0004006743,1.87211e-05,0.00032192783,6.9587055e-05,0.44039547,0.10772460699081421
1639,5,Class 5,7,Class 7,0,0.004184507,7.41313e-08,1.9746687e-06,0.00090451166,2.213937e-07,0.00072674395,5.312479e-07,0.99418145,0.9934547102311626
1681,7,Class 7,1,Class 1,0,0.0002331624,0.765375,0.068946615,2.9309024e-06,6.3353605e-07,1.3694347e-07,3.684209e-08,0.1654415,0.5999335199594498
1686,0,Class 0,7,Class 7,0,4.25052e-05,4.7655512e-06,5.290231e-05,3.4492047e-07,5.931248e-06,8.276572e-07,2.005818e-08,0.9998927,0.9998502064408967
1699,3,Class 3,7,Class 7,0,6.2016164e-07,6.325946e-11,9.7024255e-09,0.0674911,1.3538942e-09,2.55896e-05,1.3538942e-09,0.9324827,0.864991620182991
1705,0,Class 0,7,Class 7,0,0.0027097776,2.2430078e-09,4.8484305e-10,1.0274258e-06,5.329076e-07,4.324434e-09,4.8005482e-08,0.9972886,0.9945788071490824
1707,0,Class 0,7,Class 7,0,6.584131e-05,1.771338e-05,1.771338e-05,4.7654507e-06,1.4374021e-07,9.2792476e-08,2.2046212e-05,0.9998716,0.9998057702832739
1765,7,Class 7,4,Class 4,0,3.1697412e-12,8.5275976e-13,9.466475e-12,5.505054e-13,1.0,6.851634e-13,2.0462499e-12,2.0060368e-08,0.9999999799396324
1803,0,Class 0,7,Class 7,0,0.009323428,0.24835248,0.00022595242,0.00014586496,3.1529813e-05,0.00018154488,3.1529813e-05,0.7417076,0.7323841946199536
1806,2,Class 2,1,Class 1,0,1.7877439e-07,0.99916744,0.0007303882,3.1358247e-10,1.2939313e-08,1.3068371e-10,6.1060527e-12,0.00010191968,0.9984370541060343
1853,1,Class 1,7,Class 7,0,5.8747364e-06,0.003349202,8.1167644e-05,5.2398267e-05,0.0051880847,0.00037550242,0.0005816725,0.990366,0.9870167800690979
1873,4,Class 4,7,Class 7,0,0.00024792418,0.006604071,0.000103320715,3.494083e-07,0.33915883,5.466491e-09,7.552708e-08,0.6538854,0.3147265911102295
1874,7,Class 7,2,Class 2,0,6.3910484e-05,0.018898465,0.6265451,5.186202e-07,1.927731e-06,0.029274687,0.00023755783,0.32497782,0.3015672564506531
1893,7,Class 7,4,Class 4,0,2.610032e-09,9.701589e-09,3.2484662e-09,1.1955439e-06,0.74915195,3.2163854e-07,1.4879848e-06,0.250845,0.4983069598674774
1913,7,Class 7,5,Class 5,0,0.00034127408,0.021813612,0.00065796357,1.2939586e-07,0.00052865106,0.7231915,0.011314333,0.24215257,0.4810389280319214
1927,4,Class 4,7,Class 7,0,3.8995313e-05,1.6576815e-09,4.459684e-10,3.54781e-08,0.08263464,4.415641e-08,5.4957418e-08,0.91732615,0.834691509604454
1932,0,Class 0,7,Class 7,0,0.00037886066,2.7694625e-07,0.00015788767,3.4128574e-05,9.181649e-06,0.00019650844,5.392665e-09,0.9992231,0.998844252404524
1934,7,Class 7,4,Class 4,0,2.770596e-07,5.2888572e-05,9.1854245e-06,6.714521e-09,0.9996331,2.4958133e-08,2.4958133e-08,0.00030452633,0.9993285474774893
1960,6,Class 6,7,Class 7,0,4.297508e-06,1.04149706e-07,2.2512744e-08,1.1676963e-08,1.1561644e-06,0.04213051,0.37577274,0.58209115,0.20631840825080872
1977,2,Class 2,1,Class 1,0,4.4711648e-08,0.9288609,0.0039095706,1.8633257e-08,4.9634286e-07,2.0891067e-09,5.5648474e-08,0.06722893,0.9249513321556151
1989,4,Class 4,7,Class 7,0,0.13219936,1.348494e-05,1.2147526e-06,1.348494e-05,0.00028860863,0.10621759,7.764474e-05,0.76118857,0.7608999580552336
2011,0,Class 0,7,Class 7,0,1.2822193e-06,2.0462464e-12,7.605977e-12,2.2268928e-07,9.466477e-12,5.991035e-08,1.4519217e-09,0.99999833,0.9999970488506733
2014,5,Class 5,7,Class 7,0,7.3258185e-08,8.132373e-07,0.0021448655,1.1235991e-05,1.4123889e-07,0.015370779,5.302262e-09,0.98247206,0.9671012833714485
2017,0,Class 0,7,Class 7,0,0.019096512,2.162398e-05,6.5224333e-07,4.2106007e-07,0.00015496416,1.1327827e-07,4.674178e-06,0.9807211,0.9616246037185192
2039,1,Class 1,2,Class 2,0,3.942974e-12,0.00037895166,0.99946314,8.438848e-11,6.8479554e-13,9.367972e-10,6.168782e-14,0.00015792559,0.9990841893013567
2084,7,Class 7,0,Class 0,0,0.5468236,1.2177183e-07,5.0747634e-08,0.35300556,0.005522775,0.07630475,0.0018492392,0.016493836,0.5303297843784094
2136,7,Class 7,0,Class 0,0,0.92304206,0.053677756,2.0352212e-05,7.564996e-05,0.0048354072,9.415454e-05,0.0002811938,0.017973395,0.905068663880229
2152,7,Class 7,3,Class 3,0,3.0559747e-06,5.2550502e-05,0.00019533244,0.9932433,2.4553692e-06,2.7257018e-05,9.217734e-08,0.0064758975,0.9867673795670271
2170,0,Class 0,7,Class 7,0,0.0033703719,2.4883054e-08,2.4637316e-06,2.4883054e-08,4.2788827e-07,5.3255417e-07,9.249127e-08,0.996626,0.9932556475978345
2179,2,Class 2,1,Class 1,0,0.011534625,0.4759508,0.38240996,1.6256152e-05,0.0016095618,6.8422054e-08,0.00043302262,0.12804566,0.09354084730148315
2211,2,Class 2,7,Class 7,0,0.0007372405,0.010185997,0.3376987,3.4790366e-07,0.00030723997,1.804515e-07,2.0231678e-08,0.6510703,0.31337159872055054
2228,0,Class 0,7,Class 7,0,0.39182717,0.00014856327,7.705714e-05,0.00085541024,4.9744765e-05,4.9744765e-05,3.211304e-05,0.6069601,0.2151329517364502
2235,7,Class 7,0,Class 0,0,0.9992331,2.5196986e-10,2.2032153e-05,9.2733224e-08,2.0044984e-08,1.4222993e-05,1.165677e-09,0.0007304367,0.9985026899375953
2258,0,Class 0,7,Class 7,0,0.0022154227,2.2375187e-05,3.466029e-05,0.33979148,0.0007418093,0.000309144,0.0017800156,0.6551051,0.6528896912932396
2270,7,Class 7,4,Class 4,0,4.2908493e-07,3.1365993e-10,4.376868e-11,1.1658862e-09,0.9994124,6.7130386e-09,9.274986e-08,0.00058698596,0.9988254314521328
2294,0,Class 0,7,Class 7,0,0.009979003,7.3673796e-08,1.5767872e-06,8.097749e-05,0.00012543821,0.0013924877,0.0003746229,0.9880459,0.9780668681487441
2322,5,Class 5,0,Class 0,0,0.8448396,2.5993716e-06,2.3184457e-05,0.1178904,1.2025369e-05,0.00550831,7.763051e-06,0.03171621,0.8393312627449632
2357,0,Class 0,7,Class 7,0,5.3435446e-07,1.1550463e-07,3.0767517e-06,4.336175e-09,1.4375811e-07,7.605961e-12,3.5187117e-11,0.9999962,0.9999956509482786
2367,7,Class 7,0,Class 0,0,0.98383844,0.00024081029,0.00015545673,5.8942202e-08,0.0003730275,8.2249025e-09,1.02367785e-08,0.015392155,0.9684462836012244
2368,0,Class 0,7,Class 7,0,1.1550367e-07,2.799221e-09,2.771582e-07,2.4720423e-06,9.188684e-06,1.0404812e-08,7.456425e-08,0.99998784,0.9999877251487987
2377,0,Class 0,7,Class 7,0,4.8615373e-10,3.4839285e-09,9.466347e-12,1.4233689e-05,1.0302044e-06,1.789206e-07,2.0060021e-08,0.9999846,0.9999846215154942
2389,4,Class 4,0,Class 0,0,0.8527777,0.00010826512,0.0018617264,4.5118748e-05,0.049591668,4.0643954e-06,5.6715265e-07,0.095610894,0.8031860515475273
2397,3,Class 3,7,Class 7,0,8.360012e-09,3.9450916e-12,7.456515e-08,2.2715342e-11,6.0508004e-10,4.8616117e-10,2.855374e-13,0.9999999,0.9999998807679951
2492,7,Class 7,0,Class 0,0,0.5157212,9.2274576e-08,2.2141812e-07,0.0017440576,8.1489336e-05,3.396012e-05,0.2674955,0.21492338,0.30079782009124756
2496,5,Class 5,7,Class 7,0,0.01179273,2.5745074e-05,1.0729094e-05,3.2042553e-05,3.9880455e-05,0.0061166803,0.043834046,0.9381482,0.9320315201766789
2507,5,Class 5,7,Class 7,0,5.580058e-06,0.0005524958,1.0758152e-05,6.9449975e-06,1.0758152e-05,0.3920259,0.00011942595,0.6072681,0.2152422070503235
2513,0,Class 0,7,Class 7,0,0.44499826,0.00013556337,0.0006271514,0.00032529238,5.089202e-06,3.6470803e-05,2.3543973e-05,0.5538486,0.10885035991668701
2522,6,Class 6,0,Class 0,0,0.9977196,2.0014586e-08,4.3263033e-09,9.167842e-06,9.167842e-06,0.0014061212,0.00072933035,0.00012666635,0.9969902555458248
2535,7,Class 7,4,Class 4,0,1.2370749e-09,5.104526e-08,1.7091924e-08,3.6945413e-09,0.8520245,9.939476e-10,7.907161e-08,0.14797539,0.7040491104125977
2538,0,Class 0,7,Class 7,0,0.0023811131,1.3985018e-06,1.2473582e-05,0.2934289,6.5343585e-08,7.182145e-05,4.1766402e-06,0.70410013,0.7017190188635141
2544,4,Class 4,0,Class 0,0,0.94437104,6.9721755e-06,5.6018994e-06,1.2229694e-08,0.0006903322,5.6018994e-06,2.3345535e-06,0.05491809,0.9436807124293409
2545,0,Class 0,7,Class 7,0,0.00090886024,4.2889116e-07,0.00010189863,7.375207e-06,2.4695041e-06,1.153852e-07,1.769725e-05,0.9989611,0.998052230803296
2601,7,Class 7,0,Class 0,0,0.9879028,0.008016621,0.0026842754,1.592281e-08,2.4421672e-06,2.738087e-07,1.2667091e-06,0.0013922862,0.9865105339558795
2638,5,Class 5,7,Class 7,0,8.0381847e-07,0.007880222,0.00023769091,0.00015344299,0.018909052,0.0017033676,2.1411714e-05,0.9710941,0.9693907042965293
2642,0,Class 0,7,Class 7,0,0.06743099,0.0008476222,6.8782742e-06,3.6032237e-08,6.1349085e-05,6.94688e-08,7.711714e-07,0.93165225,0.8642212599515915
2669,6,Class 6,7,Class 7,0,0.006472524,3.390666e-05,0.00037639737,0.00037639737,1.4413627e-09,8.217248e-07,1.4130369e-05,0.99272585,0.9927117187826298
2674,6,Class 6,7,Class 7,0,0.35314474,4.483381e-05,0.0035666688,0.0011942583,0.09500699,1.6831103e-06,1.6831103e-06,0.5470392,0.5470375276860295
2676,0,Class 0,7,Class 7,0,0.013542038,7.1648196e-07,1.7363892e-08,1.3813501e-06,8.829334e-05,8.9174e-07,0.12078483,0.8655819,0.852039891295135
2736,7,Class 7,2,Class 2,0,2.4677674e-06,0.00090822077,0.9982577,6.7052826e-09,8.428687e-11,0.00010182697,6.040259e-10,0.00072972366,0.9975279729696922
2766,4,Class 4,7,Class 7,0,0.0036590316,9.9421195e-06,6.4182027e-06,0.0056680273,0.121308714,5.1568018e-06,6.4182027e-06,0.86933625,0.7480275332927704
2782,7,Class 7,0,Class 0,0,0.9449286,5.6052118e-06,4.9994265e-05,4.9994265e-05,1.3450027e-05,1.2116066e-06,6.2843895e-07,0.054950524,0.8899780623614788
2800,4,Class 4,7,Class 7,0,0.2373101,0.0019257212,0.0006448057,7.229368e-05,0.051296327,1.7520308e-06,1.9449268e-05,0.7087296,0.6574332974851131
2809,7,Class 7,0,Class 0,0,0.8290378,0.0018098982,0.025006246,0.00013099662,3.1746906e-06,2.2750819e-05,6.1206842e-06,0.14398307,0.6850547194480896
2824,5,Class 5,7,Class 7,0,1.4231881e-05,3.8670045e-08,5.9901915e-08,1.7713113e-05,1.4231881e-05,8.1945545e-05,1.4231881e-05,0.99985754,0.9997755993535975
