sample_id,true_label,true_class,predicted_label,predicted_class,correct,prob_Class 0,prob_Class 1,prob_Class 2,prob_Class 3,prob_Class 4,prob_Class 5,prob_Class 6,prob_Class 7
27,4,Class 4,7,Class 7,0,3.415068e-05,5.2901123e-05,2.743888e-05,1.4232062e-05,2.7712562e-07,5.342878e-07,1.15490096e-07,0.9998703
28,7,Class 7,7,Class 7,1,1.0302191e-06,2.8271725e-11,3.9450877e-12,5.4506816e-11,2.2715366e-11,1.0613525e-12,2.0260393e-10,0.9999989
29,7,Class 7,7,Class 7,1,2.472063e-06,4.3794166e-11,9.372968e-10,1.1782005e-11,1.2822154e-06,2.4967198e-08,1.2950045e-08,0.9999962
30,7,Class 7,7,Class 7,1,1.3341423e-14,1.2018255e-15,4.0241683e-16,7.681838e-14,1.6440887e-12,4.4672323e-15,5.505054e-13,1.0
31,7,Class 7,7,Class 7,1,3.1384376e-10,1.3209692e-12,2.5216276e-10,4.8136e-08,2.006033e-08,1.3209692e-12,1.3209692e-12,1.0
32,7,Class 7,7,Class 7,1,3.5538285e-13,1.6604873e-14,1.1899567e-13,1.6604873e-14,1.8433046e-13,2.5721807e-14,3.2655376e-18,1.0
33,7,Class 7,7,Class 7,1,1.2950094e-08,3.9844416e-14,1.3341448e-14,1.4810324e-13,1.3209717e-12,5.559963e-15,1.0613537e-12,1.0
34,7,Class 7,7,Class 7,1,2.0666594e-14,1.825104e-11,3.2013566e-14,1.1665716e-09,5.4506875e-11,8.443398e-11,1.2950094e-08,1.0
35,7,Class 7,7,Class 7,1,1.0719398e-14,1.1899567e-13,1.0719398e-14,3.1697412e-12,3.2013566e-14,1.1899567e-13,1.466406e-11,1.0
36,7,Class 7,7,Class 7,1,3.9061315e-10,7.681853e-14,3.945092e-12,6.233657e-16,6.1111407e-12,1.6604873e-14,5.505054e-13,1.0
37,0,Class 0,0,Class 0,1,0.9998405,7.455326e-08,1.030056e-06,2.0057131e-08,2.0057131e-08,2.4963313e-08,2.2265414e-07,0.00015798523
38,7,Class 7,7,Class 7,1,2.3401853e-17,1.843301e-13,2.9126078e-17,1.3474493e-16,4.0241683e-16,6.172095e-14,1.0719357e-14,1.0
39,7,Class 7,7,Class 7,1,5.396857e-09,1.627852e-10,4.3794326e-11,1.8251005e-11,1.4519239e-09,1.4375865e-07,1.3079236e-10,0.9999999
40,7,Class 7,7,Class 7,1,5.2900694e-05,2.7712338e-07,1.788987e-07,2.4717317e-06,8.1945924e-05,5.990219e-08,1.0403505e-08,0.9998622
41,7,Class 7,7,Class 7,1,1.14344975e-05,7.5295825e-10,3.1379047e-10,4.812774e-08,0.0001579833,1.9858849e-06,1.7889265e-07,0.99982834
42,7,Class 7,7,Class 7,1,7.60599e-12,1.0719398e-14,3.589262e-15,3.5538217e-13,1.4810324e-13,6.233657e-16,1.8616867e-15,1.0
43,7,Class 7,7,Class 7,1,1.1665716e-09,2.8271755e-11,1.8251007e-11,1.178205e-11,3.1697412e-12,9.466475e-12,2.0260416e-10,1.0
44,7,Class 7,7,Class 7,1,3.4153923e-05,2.4966427e-08,1.2949645e-08,2.521545e-10,5.39667e-09,4.293223e-07,3.5186097e-11,0.9999653
45,2,Class 2,2,Class 2,1,6.233657e-16,1.1665716e-09,1.0,1.4810324e-13,6.988982e-17,6.172095e-14,9.656276e-16,1.6278554e-10
46,2,Class 2,2,Class 2,1,1.193862e-09,0.17773795,0.822262,1.5007136e-11,2.5806227e-10,3.2118633e-10,1.3385236e-10,7.630952e-08
47,7,Class 7,7,Class 7,1,9.466493e-12,9.560896e-14,1.1899567e-13,6.111153e-12,2.5467837e-12,3.1697412e-12,2.5721807e-14,1.0
48,7,Class 7,7,Class 7,1,3.8293506e-06,2.7716032e-07,1.1550467e-07,6.716955e-09,7.456482e-08,2.7716032e-07,3.1074407e-08,0.99999547
49,7,Class 7,7,Class 7,1,4.9100936e-12,1.0826275e-16,3.6250618e-17,5.505054e-13,4.4672323e-15,8.360013e-09,2.8271755e-11,1.0
50,2,Class 2,7,Class 7,0,5.9887604e-08,1.1432079e-05,0.00024467256,0.00012690722,4.8117556e-08,6.714412e-09,3.1062584e-08,0.99961686
51,7,Class 7,7,Class 7,1,3.2013566e-14,4.9101027e-12,2.2941916e-13,5.559963e-15,2.8271755e-11,3.2332878e-16,1.1899567e-13,1.0
52,7,Class 7,7,Class 7,1,1.8070798e-09,2.0260416e-10,3.518732e-11,7.530875e-10,1.3209717e-12,1.0404959e-08,2.5467837e-12,1.0
53,1,Class 1,1,Class 1,1,4.8615967e-10,0.9999987,1.0302189e-06,2.8553706e-13,3.169737e-12,7.60598e-12,4.9590516e-14,2.2268912e-07
54,7,Class 7,7,Class 7,1,2.2491058e-09,8.360012e-09,4.3794326e-11,9.4664745e-12,4.336191e-09,3.1697407e-12,9.280438e-08,0.9999999
55,7,Class 7,7,Class 7,1,1.0613537e-12,3.867563e-08,1.05087196e-10,2.0666594e-14,3.1384434e-10,2.5467837e-12,3.1384434e-10,1.0
56,7,Class 7,7,Class 7,1,1.14363165e-05,8.359916e-09,1.1550374e-07,2.8271429e-11,1.6278333e-10,6.7838915e-11,6.7838915e-11,0.99998844
57,7,Class 7,7,Class 7,1,1.2949554e-08,2.7441294e-05,1.4233315e-05,2.7991383e-09,4.3792504e-11,3.8673942e-08,4.909889e-12,0.9999583
58,7,Class 7,7,Class 7,1,5.930675e-06,0.00019662092,1.0300103e-06,1.8247287e-11,2.2264403e-07,1.0402817e-08,3.9053355e-10,0.9997962
59,7,Class 7,7,Class 7,1,4.4231147e-13,6.172095e-14,2.8271755e-11,3.9061315e-10,1.4957988e-15,9.466475e-12,2.2941916e-13,1.0
60,7,Class 7,7,Class 7,1,5.3435e-07,9.372879e-10,1.2822034e-06,1.3079088e-10,6.783892e-11,1.1436297e-05,3.1384018e-10,0.99998677
61,7,Class 7,7,Class 7,1,0.0098081585,1.3960856e-07,1.3822982e-05,1.7204193e-05,2.1412514e-05,0.018909758,9.905978e-05,0.97113043
62,7,Class 7,7,Class 7,1,5.4506875e-11,5.4506875e-11,9.466475e-12,7.681853e-14,3.5187252e-11,4.4672323e-15,1.1899567e-13,1.0
63,7,Class 7,7,Class 7,1,6.851634e-13,3.1697412e-12,1.178205e-11,4.5567907e-19,1.104332e-20,1.2138128e-17,6.91996e-15,1.0
64,7,Class 7,7,Class 7,1,1.8070017e-09,5.396624e-09,1.2949534e-08,3.9059625e-10,4.250792e-05,3.8673956e-08,6.650363e-07,0.9999567
65,7,Class 7,7,Class 7,1,0.0021748003,8.2458723e-07,4.7478748e-06,0.00090633356,6.625271e-07,0.0007282073,5.323179e-07,0.99618393
66,7,Class 7,7,Class 7,1,4.3361914e-09,1.6440887e-12,4.3794413e-11,3.1697412e-12,3.1697412e-12,7.60599e-12,3.5538217e-13,1.0
67,7,Class 7,7,Class 7,1,5.991035e-08,1.8251008e-11,1.644086e-12,1.2950073e-08,6.1111303e-12,6.050791e-10,1.5958603e-06,0.99999833
68,7,Class 7,7,Class 7,1,1.8070477e-09,4.8615256e-10,3.5186694e-11,4.3361146e-09,1.771534e-05,1.0613348e-12,4.9100064e-12,0.99998224
69,7,Class 7,5,Class 5,0,0.41548204,8.334711e-09,7.4339404e-08,0.046582583,0.005222698,0.5171125,2.4645904e-06,0.015597654
70,7,Class 7,7,Class 7,1,0.00037899808,1.2816889e-06,1.2816889e-06,4.764087e-06,2.7431066e-05,1.2944727e-08,6.647894e-07,0.99958557
71,7,Class 7,7,Class 7,1,1.3209717e-12,1.1899567e-13,3.5538217e-13,8.612654e-15,5.505054e-13,6.919987e-15,1.466406e-11,1.0
72,7,Class 7,7,Class 7,1,0.00047167437,4.334116e-09,7.5272705e-10,5.9290505e-06,8.356028e-09,1.6110075e-08,1.0297272e-06,0.9995214
73,7,Class 7,7,Class 7,1,4.250788e-05,1.0404487e-08,3.107314e-08,7.456178e-08,3.449425e-07,2.7714927e-07,5.990785e-08,0.9999566
74,7,Class 7,7,Class 7,1,3.9061315e-10,3.5538217e-13,1.8616867e-15,6.851634e-13,1.8251007e-11,9.560877e-14,2.2941916e-13,1.0
75,0,Class 0,0,Class 0,1,0.9999999,1.6604871e-14,3.5538144e-13,2.855374e-13,3.2013563e-14,2.0666554e-14,3.5538144e-13,5.991044e-08
76,7,Class 7,7,Class 7,1,2.0260416e-10,1.0719398e-14,1.8433046e-13,4.959068e-14,1.8433046e-13,2.0260416e-10,5.505054e-13,1.0
77,5,Class 5,5,Class 5,1,6.4752865e-05,0.00089465023,0.00012484108,0.00015537835,1.5849336e-08,0.9833424,3.358617e-05,0.015384402
78,0,Class 0,0,Class 0,1,0.9999995,1.1665711e-09,6.7169825e-09,5.450685e-11,5.396855e-09,1.4664053e-11,3.1697396e-12,4.29337e-07
79,7,Class 7,7,Class 7,1,3.5187044e-11,2.0462377e-12,2.0260295e-10,2.0260295e-10,5.9318486e-06,2.271521e-11,4.3794073e-11,0.99999404
80,1,Class 1,1,Class 1,1,4.840918e-10,0.99574333,0.0041910824,2.0174173e-10,8.324427e-09,3.503754e-11,4.8892023e-12,6.5569526e-05
81,5,Class 5,5,Class 5,1,6.5221747e-07,4.673993e-06,0.00010003411,1.7546697e-07,6.4577696e-05,0.98068225,5.1885923e-05,0.019095754
82,7,Class 7,7,Class 7,1,6.650645e-07,2.2491042e-09,4.336188e-09,9.372996e-10,7.456495e-08,5.396853e-09,3.138441e-10,0.99999917
83,7,Class 7,7,Class 7,1,3.483859e-09,3.4153905e-05,1.0301839e-06,1.6440307e-12,1.15500995e-07,3.483859e-09,8.359718e-09,0.9999647
84,7,Class 7,7,Class 7,1,2.0260416e-10,3.1697412e-12,6.851634e-13,4.959068e-14,8.5275976e-13,2.5467788e-12,2.9126078e-17,1.0
85,7,Class 7,7,Class 7,1,6.650643e-07,5.396852e-09,1.295008e-08,3.1074457e-08,3.449571e-07,2.799252e-09,3.8675513e-08,0.9999989
86,7,Class 7,6,Class 6,0,0.039363295,2.8774468e-05,1.6733231e-06,0.00013311802,0.0014777415,1.4924808e-05,0.67689085,0.28208962
87,7,Class 7,0,Class 0,0,0.9765538,3.7395837e-06,0.0033024922,0.019015366,1.7472829e-07,1.730029e-05,1.2521572e-06,0.0011058023
88,7,Class 7,7,Class 7,1,4.959058e-14,1.2018255e-15,4.4231147e-13,1.6440887e-12,1.6604873e-14,4.959058e-14,7.835829e-18,1.0
89,7,Class 7,7,Class 7,1,5.2955664e-07,1.7556504e-05,2.1850981e-05,0.008041887,0.00090163207,1.4246734e-07,5.3483746e-09,0.9910164
90,7,Class 7,7,Class 7,1,3.8293533e-06,1.1782005e-11,4.423098e-13,6.783956e-11,1.6117728e-08,6.1111173e-12,2.2490974e-09,0.9999962
91,7,Class 7,7,Class 7,1,3.589262e-15,1.6604873e-14,1.8616867e-15,1.2138128e-17,1.4957988e-15,2.9416587e-19,1.4957988e-15,1.0
92,7,Class 7,7,Class 7,1,1.466406e-11,2.8271755e-11,2.0872651e-16,6.233657e-16,4.959058e-14,4.4672323e-15,2.5216276e-10,1.0
93,7,Class 7,7,Class 7,1,4.8128108e-08,3.8287403e-06,0.00015798453,1.9859e-06,6.0498095e-10,2.2487374e-09,2.7987963e-09,0.9998361
94,7,Class 7,7,Class 7,1,2.4967285e-08,3.4495736e-07,8.3600105e-09,2.2491051e-09,3.1384423e-10,4.8616106e-10,5.396856e-09,0.99999964
95,7,Class 7,7,Class 7,1,1.8070798e-09,1.466406e-11,6.78397e-11,5.4506875e-11,2.799255e-09,7.60599e-12,9.560877e-14,1.0
96,7,Class 7,7,Class 7,1,8.3600105e-09,4.3794315e-11,4.33619e-09,1.0508716e-10,3.4495736e-07,2.5216315e-10,3.5538136e-13,0.99999964
97,7,Class 7,7,Class 7,1,2.2268941e-07,2.799252e-09,3.449571e-07,5.343565e-07,1.6117772e-08,3.8675587e-08,2.0060309e-08,0.9999989
98,7,Class 7,7,Class 7,1,3.5187252e-11,1.4957988e-15,2.0666594e-14,3.5187252e-11,2.2941916e-13,7.681853e-14,3.945092e-12,1.0
99,7,Class 7,7,Class 7,1,0.044577062,5.6593185e-06,4.5470656e-06,1.0910964e-05,5.6593185e-06,7.897117e-07,0.0013445773,0.9540508
100,7,Class 7,7,Class 7,1,2.799255e-09,5.4506875e-11,4.3361914e-09,2.0462499e-12,1.0613537e-12,2.2941916e-13,7.530875e-10,1.0
101,1,Class 1,1,Class 1,1,1.8433046e-13,1.0,4.8136e-08,5.559963e-15,6.783982e-11,1.3209692e-12,1.4810324e-13,2.249106e-09
102,7,Class 7,7,Class 7,1,1.8251007e-11,1.6278522e-10,1.178205e-11,1.3079238e-10,2.799255e-09,6.050801e-10,6.050801e-10,1.0
103,7,Class 7,7,Class 7,1,1.1899567e-13,1.6604873e-14,3.553815e-13,1.6604873e-14,6.851634e-13,1.0826275e-16,6.91996e-15,1.0
104,7,Class 7,7,Class 7,1,5.505054e-13,3.553815e-13,2.0666555e-14,2.0666555e-14,2.0666555e-14,2.2941916e-13,1.6604873e-14,1.0
105,7,Class 7,7,Class 7,1,6.6489764e-07,4.249906e-05,5.9303966e-06,0.00019661171,5.9303966e-06,3.1066726e-08,2.496101e-08,0.9997483
106,7,Class 7,7,Class 7,1,3.945092e-12,3.169747e-12,1.1782072e-11,6.783982e-11,8.5276144e-13,2.8553744e-13,8.360029e-09,1.0
107,7,Class 7,7,Class 7,1,1.3209667e-12,6.1111407e-12,6.851621e-13,3.2013566e-14,2.8553692e-13,2.3170743e-15,6.172095e-14,1.0
108,7,Class 7,7,Class 7,1,1.3079261e-10,2.0462499e-12,6.919987e-15,1.8616867e-15,2.2941916e-13,8.5275976e-13,6.851634e-13,1.0
109,7,Class 7,7,Class 7,1,1.8070798e-09,2.5216276e-10,3.8675555e-08,2.8271755e-11,8.4433814e-11,4.3794333e-11,6.851634e-13,1.0
110,7,Class 7,7,Class 7,1,5.4506875e-11,2.5467837e-12,8.443398e-11,9.373003e-10,2.2941916e-13,6.111153e-12,2.0462499e-12,1.0
111,1,Class 1,1,Class 1,1,1.417521e-05,0.99587613,0.0027059398,1.03620295e-08,2.760186e-07,2.4864331e-08,2.239831e-09,0.0014035231
112,7,Class 7,7,Class 7,1,1.986221e-06,1.7892293e-07,3.1074475e-08,1.4664025e-11,6.7169696e-09,1.7892293e-07,3.8675537e-08,0.9999976
113,7,Class 7,7,Class 7,1,4.292691e-07,3.1379455e-10,6.7829055e-11,0.00015798536,1.0507052e-10,2.771176e-07,1.294804e-08,0.99984133
114,7,Class 7,7,Class 7,1,3.589275e-15,4.3794413e-11,9.752554e-18,6.919987e-15,3.9061315e-10,6.8516465e-13,3.1384434e-10,1.0
115,7,Class 7,7,Class 7,1,2.0060368e-08,1.3079261e-10,1.466406e-11,6.851634e-13,6.7169856e-09,1.466406e-11,1.05087196e-10,1.0
116,7,Class 7,7,Class 7,1,1.6117728e-08,3.8293533e-06,1.2950045e-08,2.8553635e-13,6.0507777e-10,5.4506667e-11,1.0508679e-10,0.9999962
117,7,Class 7,7,Class 7,1,2.5467788e-12,2.5467788e-12,6.172095e-14,9.65624e-16,3.1697412e-12,7.7584443e-16,8.612654e-15,1.0
118,7,Class 7,7,Class 7,1,1.6604873e-14,4.4231147e-13,5.5599416e-15,9.372986e-10,8.612654e-15,3.2013566e-14,1.6440887e-12,1.0
119,7,Class 7,7,Class 7,1,6.783982e-11,3.589275e-15,9.65624e-16,3.9844416e-14,1.8616867e-15,2.0260416e-10,1.4810324e-13,1.0
120,7,Class 7,7,Class 7,1,0.006477713,3.4614134e-09,1.6013383e-08,9.220322e-08,3.8808284e-10,1.0440646e-10,6.011605e-10,0.9935222
121,7,Class 7,7,Class 7,1,5.5599416e-15,3.589262e-15,1.093426e-18,1.3474493e-16,1.1899567e-13,8.6985585e-17,1.6770494e-16,1.0
122,7,Class 7,7,Class 7,1,1.3079238e-10,1.466406e-11,6.78397e-11,5.505054e-13,3.945092e-12,3.9844342e-14,3.1697412e-12,1.0
123,7,Class 7,7,Class 7,1,5.343566e-07,2.7716135e-07,1.6117776e-08,2.5467766e-12,7.5308687e-10,2.2491042e-09,4.8616083e-10,0.99999917
124,7,Class 7,7,Class 7,1,3.661219e-19,9.65624e-16,2.0872651e-16,2.6237427e-18,2.9416587e-19,5.1089124e-20,1.8802555e-17,1.0
125,0,Class 0,0,Class 0,1,1.0,1.825104e-11,2.0260416e-10,1.1899567e-13,2.2941916e-13,2.5467788e-12,1.466406e-11,1.0404959e-08
126,7,Class 7,7,Class 7,1,3.518732e-11,3.518732e-11,1.466406e-11,4.9101027e-12,1.0826275e-16,9.560896e-14,9.560896e-14,1.0
127,7,Class 7,7,Class 7,1,1.9862216e-06,8.359996e-09,1.825097e-11,1.6440854e-12,5.4506764e-11,4.3361825e-09,6.716972e-09,0.999998
128,7,Class 7,7,Class 7,1,1.466406e-11,3.1697412e-12,3.2013566e-14,1.8616937e-15,3.9061315e-10,4.9101027e-12,4.9101027e-12,1.0
129,7,Class 7,7,Class 7,1,6.050801e-10,3.5538217e-13,1.0613537e-12,3.9061315e-10,4.3361914e-09,6.78397e-11,1.0613537e-12,1.0
130,7,Class 7,7,Class 7,1,0.00015793169,8.273335e-07,2.7428765e-05,7.3791985e-06,0.0003044863,7.4528e-08,7.4528e-08,0.9995017
131,7,Class 7,7,Class 7,1,3.1073863e-08,1.4518922e-09,6.7168373e-09,4.336096e-09,2.2048576e-05,8.443212e-11,1.3078973e-10,0.99997795
132,7,Class 7,7,Class 7,1,5.4506875e-11,2.271539e-11,4.3794413e-11,4.4231147e-13,3.2013566e-14,1.1899567e-13,1.3209717e-12,1.0
133,7,Class 7,7,Class 7,1,7.3009924e-06,5.284304e-07,3.377629e-05,0.00015625791,0.009987716,0.0008997146,5.8660926e-06,0.9889088
134,7,Class 7,7,Class 7,1,2.8553744e-13,2.3170743e-15,7.530875e-10,2.0260416e-10,9.466475e-12,8.5275976e-13,1.8616867e-15,1.0
135,7,Class 7,7,Class 7,1,0.0002444473,7.5210593e-10,1.0288775e-06,0.0005865655,2.7956064e-09,0.00047128517,2.0034184e-08,0.9986966
136,7,Class 7,7,Class 7,1,0.029266622,0.00015331483,1.1096592e-05,2.6626933e-05,6.389291e-05,4.6244295e-06,0.00019081683,0.97028303
137,7,Class 7,7,Class 7,1,8.277445e-07,4.423111e-13,4.3794295e-11,1.8250991e-11,2.5467766e-12,3.553812e-13,3.9450886e-12,0.99999917
138,7,Class 7,7,Class 7,1,1.8070796e-09,3.138443e-10,9.4664745e-12,1.6278552e-10,5.396857e-09,2.521632e-10,5.991044e-08,0.9999999
139,7,Class 7,7,Class 7,1,1.4810324e-13,3.1384434e-10,1.05087196e-10,2.0872651e-16,4.423123e-13,2.2941916e-13,1.0613537e-12,1.0
140,7,Class 7,7,Class 7,1,0.00037900283,1.4370089e-07,1.6271978e-10,3.866001e-08,6.647977e-07,6.714286e-09,2.204018e-05,0.9995981
141,7,Class 7,7,Class 7,1,3.589262e-15,1.05087196e-10,1.0613537e-12,6.172095e-14,1.611779e-08,1.4810324e-13,4.3794333e-11,1.0
142,6,Class 6,7,Class 7,0,0.01631816,1.0745468e-06,4.43388e-05,5.573485e-07,9.584157e-06,4.43388e-05,0.14554584,0.83803606
143,7,Class 7,7,Class 7,1,9.188666e-06,1.9861993e-06,1.5958418e-06,1.1665562e-09,4.2933115e-07,3.4839358e-09,3.138396e-10,0.99998677
144,7,Class 7,7,Class 7,1,3.8675626e-08,5.991044e-08,4.9101023e-12,1.307926e-10,2.0260413e-10,3.5187315e-11,6.0508004e-10,0.9999999
145,7,Class 7,7,Class 7,1,2.7716123e-07,5.505053e-13,4.9100923e-12,4.4231136e-13,1.0404936e-08,1.3209688e-12,1.4664056e-11,0.99999976
146,7,Class 7,7,Class 7,1,3.553815e-13,2.0666555e-14,9.560877e-14,2.8553692e-13,1.4957988e-15,2.8271755e-11,1.843301e-13,1.0
147,7,Class 7,0,Class 0,0,0.60677654,1.4999955e-06,0.00018484726,0.0013246728,6.2511344e-07,2.8919349e-06,4.0354587e-07,0.39170855
148,7,Class 7,7,Class 7,1,1.4566697e-05,2.6323157e-14,1.086167e-12,0.17773537,3.6009893e-11,2.5551e-08,2.8647043e-09,0.82225
149,7,Class 7,7,Class 7,1,1.3209692e-12,2.5467788e-12,1.178205e-11,4.4672323e-15,2.8271755e-11,6.91996e-15,2.5978315e-16,1.0
150,1,Class 1,1,Class 1,1,1.1539801e-07,0.999073,0.00019647871,6.7107595e-09,2.0241635e-10,7.5238943e-10,1.2938091e-08,0.0007303197
151,7,Class 7,7,Class 7,1,7.60599e-12,2.0462499e-12,2.8271755e-11,1.6440919e-12,3.945092e-12,3.9061315e-10,1.6440919e-12,1.0
152,7,Class 7,7,Class 7,1,0.0424421,2.022817e-07,2.7948026e-06,0.24437666,0.12675384,2.0028421e-05,8.346708e-06,0.58639604
153,7,Class 7,7,Class 7,1,2.0260416e-10,5.00854e-16,2.0666594e-14,3.1697412e-12,3.518732e-11,4.3794413e-11,7.60599e-12,1.0
154,7,Class 7,7,Class 7,1,2.5216204e-10,7.530839e-10,1.3079175e-10,1.04048885e-08,1.825092e-11,4.7660396e-06,1.1665661e-09,0.99999523
155,7,Class 7,7,Class 7,1,1.282191e-06,1.04047e-08,1.0508479e-10,2.2490545e-09,1.7715249e-05,2.7991909e-09,3.82928e-06,0.9999771
156,7,Class 7,7,Class 7,1,2.496724e-08,9.372984e-10,1.0404916e-08,9.280419e-08,1.9862214e-06,8.359995e-09,1.8070759e-09,0.99999785
157,7,Class 7,7,Class 7,1,2.0060368e-08,1.466406e-11,1.3079261e-10,1.6278554e-10,1.3209692e-12,2.5216323e-10,1.466406e-11,1.0
158,7,Class 7,7,Class 7,1,6.0507993e-10,3.945091e-12,4.8135988e-08,2.4967289e-08,1.627855e-10,5.9910434e-08,3.9844406e-14,0.99999976
159,7,Class 7,7,Class 7,1,8.612654e-15,7.7584443e-16,3.6250618e-17,2.8838435e-15,3.589262e-15,1.8433046e-13,2.8838435e-15,1.0
160,7,Class 7,7,Class 7,1,3.8675545e-08,3.1697405e-12,2.5467781e-12,2.4967289e-08,1.2950092e-08,4.3361905e-09,7.4564994e-08,0.99999976
161,7,Class 7,7,Class 7,1,1.2822186e-06,1.6278533e-10,3.8675505e-08,5.4506802e-11,3.169737e-12,4.3361856e-09,2.7992513e-09,0.9999987
162,7,Class 7,7,Class 7,1,1.4957988e-15,1.0719398e-14,1.1899567e-13,3.945092e-12,2.2941916e-13,3.5187252e-11,3.2013566e-14,1.0
163,7,Class 7,7,Class 7,1,1.1665716e-09,1.466406e-11,3.518732e-11,9.466475e-12,1.178205e-11,1.3079261e-10,5.505054e-13,1.0
164,7,Class 7,7,Class 7,1,6.650645e-07,6.71698e-09,7.456495e-08,3.8675523e-08,1.2950084e-08,3.1074464e-08,7.5308687e-10,0.99999917
165,7,Class 7,7,Class 7,1,1.0302177e-06,1.1665688e-09,1.1782044e-11,4.910091e-12,6.783966e-11,6.7169696e-09,1.2822184e-06,0.9999976
